sekwencja,nowy_znak
MUS13,B.31.21
MUS13,A.6.17
MUS13,C.24.1
MUS13,E.17
MUS14,A.6
MUS14,H.24.28
MUS14,A.6
MUS14,H.24.28
MUS15,E.17
MUS15,B.29.25.B.30
MUS16,A.38
MUS16,B.29.30
MUS16,A.38
MUS16,B.29.30
MUS17,A.38
MUS17,B.29.30
MUS17,A.38
MUS17,B.29.30
MUS18,A.38
MUS18,B.29.30
MUS18,A.38
MUS18,B.29.30
MUS19,H.24.28
MUS19,B.24.23.B.28.30
MUS19,B.29.25
MUS19,C.24.1.3
MUS19,B.24.35
MUS2inf,A.6
MUS2inf,B.24.11
MUS2inf,G
MUS2inf,E.17
MUS2inf,B.29.30
MUS2cent,B.24.11
MUS2cent,G
MUS2cent,E.17
MUS2cent,B.29.30
MUS2cent,A.6
MUS2sup,G
MUS2sup,E.17
MUS2sup,B.29.30
MUS2sup,A.6
